OBJECTID_1,OBJECTID,WARD,PARCEL,PID_LONG,WPD,BATCH,Petition,Name_of_Pr,Areas_Desi,Address,Neighborho,Date_Desig,PID,F8,URL,ShapeSTArea,ShapeSTLength
515,713,5,1227,0501227000,05-06-060,0,15,Arlington Street Church,Exterior only (Parcel 1227),355 Boylston Street,Back Bay,4/25/1978,0501227000,Yes,http://bit.ly/1hxPmFI,18020.3220214844,545.605151905861
516,2503,7,2940,0702940000,07-09-020,0,20,James Blake House,Exterior & Interior (parcel 2942),210 East Cottage Street,Dorchester,4/25/1978,0702940000,Yes,http://bit.ly/1jYQY0u,48552.1352539062,935.928240795639
517,4057,3,4662,0304662000,03-06-635,0,6,International Trust Company Building,Exterior only (parcel 4662),45 Milk Street,Boston,4/25/1978,0304662000,Yes,http://bit.ly/PYzOF9,8440.923828125,378.744372347948
518,9081,2,3686,0203686000,02-01-135,0,59,Austin Block,Exterior only (Parcel 3686),90-92 Main Street,Charlestown,1/31/1981,0203686000,Yes,,1941.09130859375,187.44112914077
519,9333,20,6485,2006485000,20-18-030,0,73,Theodore Parker Unitarian Church,Exterior and windows,1851 Centre Street,West Roxbury,4/9/1985,2006485000,Yes,http://bit.ly/1ipNCzj,24218.6845703125,685.856766673997
520,14925,1,3615,0103615000,01-07-006,0,58,Trinity Neighborhood House,Exterior only (Parcel 3615),406 Meridian Street,East Boston,6/23/1981,0103615000,Yes,http://bit.ly/1qkUDpi,10762.9108886719,501.557396145489
521,27403,3,4580,0304580000,03-08-420,0,57,Proctor Building,Exterior only (Parcel 4580),100-6 Bedford Street,Boston,9/27/1983,0304580000,Yes,http://bit.ly/1qg9aVk,950.333984375,151.937914849019
522,30902,22,3772,2203772000,22-04-015,0,31,Oak Square School,Exterior only (Parcel 3772),35 Nonantum Street,Brighton,4/10/1979,2203772000,Yes,,24871.5791015625,731.346965359531
523,32911,3,4406,0304406000,03-06-490,0,52,United Shoe Machinery Company Building,Exterior and Interior lobby (Parcel 4406),140 Federal Street,Boston,12/20/1983,0304406000,Yes,,28352.6086425781,691.471990073657
524,33125,19,2186,1902186000,19-03-905,0,142,"Emerald Necklace Parks - Jamaica Pond, Olmsted Park and The Riverway","Landforms, Waterbodies, Vegetation, Roadways, Structures (Exterior) (Parcels 1994, 1994-1, 1965, 318, 1585, 2186)","Riverway, Jamaicaway","Fenway, JP",10/24/1989,1902186000,Yes,http://bit.ly/1eogG9l,9190669.6003418,33960.2444270993
525,33745,5,1157,0501157000,05-01-005,0,91,Berkeley Building,Exterior only,414-26 Boylston Street,Back Bay,7/9/1985,0501157000,Yes,http://bit.ly/1lGiOhU,17937.1228027344,536.786066451716
526,33822,1,5978,0105978000,01-06-015,0,156,39 Princeton Street (Architectural Conserv. Dist),Exterior only (Parcel 5978),39 Princeton Street,East Boston,3/26/1991,0105978000,Yes,,2523.58374023438,251.509281261657
527,34579,3,3881,0303881000,03-06-185,0,164,McCormack Federal Building,Exterior only (Parcel 3881),5 Post Office Square,Boston,3/20/1998,0303881000,Yes,,46515.7145996094,866.559455705089
528,39260,6,3925,0603925000,06-08-050,0,53,Harrison Loring House,Exterior & landscape elements (Parcel 3925),789 East Broadway,South Boston,6/23/1984,0603925000,Yes,http://bit.ly/1g3R9TB,13546.830078125,467.077840560843
529,39672,3,4828,0304828000,03-08-020,0,203,Modern Theatre,Exterior only,523-525 Washington Street,Boston,6/25/2002,0304828000,Yes,http://bit.ly/1kGuxvp,5071.07397460938,352.249456920383
530,41057,3,4830,0304830000,03-08-020,0,87,Keith Memorial Theater/Opera House,Exterior & Interior (parcel 4830),537-39 Washington St.,Theater,5/4/1999,0304830000,Yes,,32292.3654785156,892.6721960152
531,41621,3,4908,0304908000,03-08-055,0,29,Boylston Building,Exterior only (Parcel 4908),2 Boylston Street,Theater,11/30/1977,0304908000,Yes,http://bit.ly/1g1sEq2,15547.4536132812,539.631982210667
532,43267,1,3410,0103410000,01-08-040,0,3,Donald McKay House,Exterior & grounds (parcel 61090),80 White Street,East Boston,5/10/1977,0103410000,Yes,,12576.1723632812,533.622207457181
533,43757,3,4584-10,0304584010,03-06-665,0,113,Filene’s Complex,Exterior Only (parcel 0304584010),426 Washington Street,Boston,5/9/2006,0304584010,Yes,http://bit.ly/1ipl9d6,66216.2531738281,1038.30426620152
534,45056,12,1734,1201734000,12-03-050,0,190,Malcolm X – Ella Little-Collins House,Exterior only (Parcel 1734),72 Dale Street,Roxbury,10/16/1998,1201734000,Yes,http://bit.ly/OxgrC2,7251.32177734375,350.830707679332
535,49639,13,1312,1301312000,13-05-020,0,213.04,George Milliken House,Exterior only (Parcel 01312000),44 Virginia Street,Dorchester,1/23/2007,1301312000,Yes,http://bit.ly/1eoiIq3,7567.1826171875,351.459206509545
536,53456,3,5640,0305640000,03-08-070,0,85,Wang Theater,Interior Only (Parcels 5640 & 5640-1),268 Tremont Street,Theater,7/10/1990,0305640000,Yes,,21981.0910644531,1190.87667242211
537,55620,13,1551,1301551000,13-09-070,0,18,William Monroe Trotter House,Exterior & grounds (parcel 22110),97 Sawyer Avenue,Dorchester,10/25/1977,1301551000,Yes,,3977.2421875,259.84219260636
538,57051,3,4029,0304029000,03-06-580,0,143,Batterymarch Building,Exterior only (Parcel 4029),54 Batterymarch St.,Boston,  08/08/1995,0304029000,Yes,http://bit.ly/1iq1jzB,23792.2810058594,616.905576260962
539,60106,5,3038,0503038000,05-09-080,0,151,Burrage House,Interior,314 Commonwealth Ave,Back Bay,1/28/2003,0503038000,Yes,http://bit.ly/1qfPz5L,6917.16162109375,357.231032979357
540,64498,5,1135,0501135000,05-01-095,0,2,Armory of First Corps Cadets,Exterior only (Parcel 1135),130 Columbus Ave.,South Cove,5/10/1977,0501135000,Yes,http://bit.ly/1hxPmFI,28021.5334472656,728.300004650494
541,64644,3,3890,0303890000,03-06-715,0,175,Old State House,"Exterior & interior entries, rotunda, council chamber & Keayne, Whitmore & Representatives Hall (Parcel 3890)",208 Washington Street,Boston,10/11/1994,0303890000,Yes,,4588.80200195312,306.916817688541
542,68284,5,1259,0501259000,05-03-080,0,5,Public Garden,"Bounded by: Beacon, Arlington, Boylston, Charles",Beacon Street,Boston,5/10/1977,0501259000,Yes,http://bit.ly/1qkJlBG,1024117.64575195,4131.5922249858
543,68920,3,4966,0304966000,03-08-280,0,67,Liberty Tree Block,Exterior only (Parcel 4966),628-36 Washington St.,Theater,4/9/1985,0304966000,Yes,http://bit.ly/1ipzo1u,9162.06005859375,384.719640063535
544,69957,19,1290,1901290000,19-09-045,0,187,Loring-Greenough House,Exterior & interior (parcel 1290),12 South Street,Jamaica Plain,4/27/1999,1901290000,Yes,,77346.9904785156,1200.90033500093
545,74203,3,3940,0303940000,03-06-555,0,117,Flour & Grain Exchange,Exterior only (Parcel 3940),177 Milk Street,Boston,4/26/1994,0303940000,Yes,,11460.5080566406,431.631994128739
546,74810,3,4157,0304157000,03-06-590,0,26,Federal Reserve Bank,Exterior only,30 Pearl Street,Boston,10/10/1978,0304157000,Yes,http://bit.ly/PYuAcp,35987.0207519531,825.908227532583
547,75089,9,2855,0902855000,09-04-275,0,189,Vienna Brewery Complex,Exterior (Parcel 2855),133 Halleck & 37 Station,Roxbury,1/26/1999,0902855000,Yes,http://bit.ly/1hoEorO,17919.4384765625,538.040592445316
548,78527,3,4928,0304928000,03-08-060,0,25,Jacob Wirth's Restaurant,"Exterior & Interior volume, original features & furnishings (parcels 4928 & 4929)",31-39 Stuart Street,Theater,11/30/1977,0304928000,Yes,http://bit.ly/1hXf1fD,5048.70190429688,309.716997869434
549,80623,5,2,0500002000,05-01-025,0,88,Saxon Theater/Emerson Majestic,"Exterior & Interior volume, finishes, lighting, finishes & furniture (Parcel 2)",219-21 Tremont Street,Theater,8/12/1986,0500002000,Yes,,10386.1176757812,420.746119419119
550,84357,3,3689,0303689000,03-06-340,0,176,Faneuil Hall,"Exterior & Interior stair, great hall, galley, Rm 205, Ancient & Honorable Artillery, Commandery (Parcel 3689)",1-10 Faneuil Hall Sq.,Boston,12/13/1994,0303689000,Yes,http://bit.ly/1mVEglU,8746.28344726562,376.570252570735
551,85297,3,5645,0305645000,03-08-070,0,39,Wilbur Theater,"Exterior & Interior vestibule, lobby, auditorium, basement lounge and restroom anterooms (Parcel 5645)",250 Tremont Street,Theater,7/14/1987,0305645000,Yes,http://bit.ly/1oJsBII,9824.9375,433.668148152712
552,86280,3,4920,0304920000,03-08-060,0,17,Hayden Building,Exterior only (parcel 4920),681 Washington Street,Theater,11/30/1977,0304920000,Yes,http://bit.ly/1qg2xSL,1740.55078125,191.041258077676
553,87436,19,2803,1902803000,19-02-005,0,7,Adams Nervine Asylum,"Weld, Adams, Davis, Carriage, Boiler, Green, Directors Houses, Nurses Cottage, Landscape (parcel 2803)",990-1020 Centre Street,Jamaica Plain,5/10/1977,1902803000,Yes,http://bit.ly/1ipZvqk,394695.215820312,2691.11458124551
554,88580,5,2802,0502802000,05-06-020,0,149,Gibson House,"Interior volume, finishes, systems, plumbing, lighting (Parcel 2802)",137 Beacon Street,Back Bay,7/28/1992,0502802000,Yes,,2441.2724609375,267.609307579875
555,90793,3,4832-400,0304832400,03-08-020,0,23,Paramount Theater,"Exterior & Interior volume, finishes, lighting, fittings & furniture (Parcel 4832)",549-63 Washington St.,Theater District,2/14/1984,0304832400,Yes,http://bit.ly/OxlNwQ,38207.0222167969,1111.81149209615
556,92401,5,4175,0504175000,05-02-035,0,56,Back Bay Fens,Landscape & Park Structures,The Fenway,Fenway,11/1/1983,0504175000,Yes,http://bit.ly/1oHzSZu,4279103.27514648,14055.2555428679
557,95515,3,4005,0304005000,03-06-570,0,82,25-27 India Street,Exterior only (Parcel 4005),25-27 India Street,Boston,11/1/1983,0304005000,Yes,http://bit.ly/1ilHsAg,3713.80981445312,243.88140428535
558,95535,3,4001,0304001000,03-06-570,0,84,50-52 Broad Street,Exterior only (Parcel 4001),50-52 Broad Street,Boston,4/9/1985,0304001000,Yes,http://bit.ly/1kDw5pX,1776.43896484375,175.152297308033
559,97025,3,2885,0302885000,03-06-140,0,114,Ames Building,Exterior only (Parcel 2885),1 Court Square,Boston,11/23/1993,0302885000,Yes,http://bit.ly/1lGieAK,6611.10473632812,334.334707267068
560,98062,10,12,1000012000,10-01-005,0,200,Mission Church Complex,"Bounded by Tremont Street, St. Alphonsus Street, Smith Street, and Mission Hill Park",Mission Hill,Mission Hill,8/10/2004,1000012000,Yes,http://bit.ly/R0w8DL,104438.247802734,1330.41368481579
561,99351,3,4893,0304893000,03-08-050,0,28,Boston Young Men's Christian Union Building,Exterior only (Parcel 4893),48 Boylston Street,Theater,11/30/1977,0304893000,Yes,http://bit.ly/1fXVXgv,20228.3410644531,784.67535423952
562,0,0, , , ,0,19,Commonwealth Avenue Mall,"Landscape Features, monuments, street furniture, fences; Bounded by Kenmore, Arlington Street",Commonwealth Avenue ,Back Bay, , ,Yes,http://bit.ly/1jol0tL,574386.425292969,13788.734518149
564,0,2,3958-10,0203958010,02-01-245,0,129,Great House Archaeological Site,Interpretive Elements and Archaeology,City Square,Charlestown, , ,Yes,,52720.0236816406,913.292170089859
565,0,19,2802,1902802000,19-02-005,0,221.06,Lewis Dawson Farm House,"Exterior Only, designation extends to the landscape to the property lines on the east, south, and west, and 35' north of the house",1090 Centre Street,Jamaica Plain, , ,Yes,http://bit.ly/1g1X4Ml,222520.793701172,2196.74027087383
566,0,0, , , ,0,156,41 Princeton Street,Exterior Only,41 Princeton Street (Architectural Conservation District), , , ,Yes,,2523.37451171875,251.50394385868
567,0,0, , , ,0, ,Sidewalk Clock - Peabody Square,None,Peabody Square at the intersection of Dorchester Avenue and Ashmont Street,Dorchester, , ,Yes,,13.440673828125,14.6717689916465
569,0,0, , , ,0, ,Sidewalk Clock - 342 West Broadway,None,333 Massachusetts Avenue,South End, , ,Yes,,12.091552734375,13.9342282359824
570,0,0, , , ,0, ,Sidewalk Clock - 333 Massachusetts Ave,None,333 Massachusetts Avenue,South End, , ,Yes,,3.9033203125,7.95443835372475
572,0,0, , , ,0,223.07,Christian Science Center Complex,Exterior Only,"Bounded by Huntington Avenue, Horticultural Hall, Massachusetts Avenue, Clearway Street, Dalton Street, and Belvidere Street",Fenway,03/09/2011, ,Yes,http://bit.ly/1lGnbcZ,577201.814208984,3620.80165829252
573,0,0, , , ,0,229.07,Charles River Esplanade,See original application on file, ,Beacon Hill/Back Bay,6/23/09, ,Yes,http://bit.ly/1mVH67M,2655565.81762695,43875.2788259101
574,0,3,4814,304814000, ,0,232.08,Elizabeth Peabody Bookstore and Circulating Library,"Exterior only (Parcel 0304814000)
",13-15 West Street,Boston,11/23/11,304814000,Yes,http://bit.ly/1kGDfKd,1823.26538085938,192.892398509096
575,1265,5,812,0500812000,05-03-075,0,4,Boston Common,"Bounded by: Park, Beacon, Charles, Boylston Tremont",Beacon Street,Boston,5/10/1977,0500812000,Yes,http://bit.ly/1kDArNW,2098973.01977539,5940.55855145001
576,11693,21,1833,2101833000,21-09-045,0,72,St. Gabriel's Monastery Building,Exterior Only,159 Washington Street,Brighton,1/10/1989,2101833000,Yes,,19636.9013671875,914.067013984073
577,13468,14,4109,1404109000,14-14-055,0,217.05,Fowler Clark Farm,"Exteriors of house and barn and parcels 04151000, 04150000, 04149000, 04148000, 04147000, 04109000.",487 Norfolk Street,Mattapan,1/10/2006,1404109000,Yes,http://bit.ly/PLqLHJ,29534.0681152344,744.51378581569
578,21749,22,1857,2201857000,22-05-095,0,173,Allston Depot,Exterior and Specified Interior Features,15 Franklin Street,Allston,5/13/1997,2201857000,Yes,,24778.4577636719,660.486029651483
579,25375,3,4763,0304763000,03-06-670,0,69,20-30 Bromfield Street,Bromfield Street Facade (Parcel 4762 & 4763),20-30 Bromfield Street,Boston,3/8/1983,0304763000,Yes,,5492.83081054688,310.005012964938
580,31196,3,4578,0304578000,03-08-420,0,49,Church Green Buildings,"Exterior only (Parcels 4577, 4578)","101-3, 105-13 Summer St.",Boston,10/2/1979,0304578000,Yes,http://bit.ly/1jVNHyQ,10361.3984375,422.621387733028
581,45291,3,3870,0303870000,03-06-210,0,50,Stock Exchange Building,Exterior of State & Kilby Street facades back 60' from the street (Parcel 3870),53 State Street,Boston,1/2/1980,0303870000,Yes,,19578.9333496094,754.666599694375
582,46011,3,3346,0303346000,03-06-123,0,16,Ebenezer Hancock House,Exterior & original interior features (parcel 3346),Marshall Street,Boston,7/5/1978,0303346000,Yes,,2072.95629882812,182.927737705126
583,46875,3,3888,0303888000,03-06-190,0,97,Second Brazer Building,Exterior only (Parcel 3889),25-29 State Street,Boston,7/9/1985,0303888000,Yes,http://bit.ly/1jqEE8t,2759.287109375,215.495373027641
584,48987,3,3822-110,0303822110,03-06-290,0,108,U.S. Custom House,Exterior & Interior lobby & rotunda (Parcel 3822),McKinley Square,Boston,7/29/1986,0303822110,Yes,http://bit.ly/1oJsvRu,13267.498046875,498.390020371331
585,54220,21,2439,2102439000,21-16-035,0,107,Chestnut Hill Reservoir & Pump Station Complex,"Structures, Landscaping, Driveways, Reservoir (Parcels 2439, 2472, 2442-5)",2400-50 Beacon Street,Brighton,9/26/1989,2102439000,Yes,http://bit.ly/1qeQvJv,5363534.75048828,13222.0032461426
586,54620,9,3285,0903285000,09-05-070,0,48,Cox Building,Exterior only (Parcels 3282-3288),1-7 Dudley Street,Roxbury,7/10/1979,0903285000,Yes,,10914.6645507812,401.222181921628
587,56465,20,8964,2008964000,20-17-005,0,14,Brook Farm,"Print Shop Exterior & Landscape Features (parcels 8964, 8965, 8966)",670 Baker Street,West Roxbury,10/25/1977,2008964000,Yes,http://bit.ly/1h9ebwA,7404053.13574219,14364.7591758368
